country,country_short,region_wb,pop_log,obesity_m,obesity_f,overw_m,overw_f,BMI_m,BMI_f,flex,indiv,yr_sch_m,yr_sch_f,globaliz,uneven_eco_dev,gdppc_ln,undernourish,rice,mcdonalds,temp_avg,wgi_avg,share_animal_prot,vegies_fruits,hf_efiscore,wdi_emp_agr_m,wdi_emp_ind_m,wdi_emp_ser_m,wdi_emp_agr_f,wdi_emp_ind_f,wdi_emp_ser_f,healthexp_perc_gdp,wdi_popurb_share,wdi_smok_m,wdi_smok_f,indiv_welzel,self_expr_val,emancip_val,autonomy,indiv_hofstd,culture_zone,fi_ftradeint,fh_pair,cool_water_ind,hist_path_load,migr_dist_ea,irrig_dep,relig_imp,secular_rational
Afghanistan,AFG,South Asia,17.35396248022591,3,7.3,19.1,25.4,22.5,24,NA,NA,5.8,1.6,39,7.2,7.643482907077201,21.5,19.139999389648438,NA,12.6,-1.475,2.3387598991394043,76.19999694824219,NA,NA,NA,NA,NA,NA,NA,10.10534763,0.23239001652662536,NA,NA,NA,NA,NA,NA,NA,Ottoman-Persian,NA,4,0.03323134923326411,0.15,0.313091721025047,0.7249708771705627,NA,NA
Albania,ALB,Europe and Central Asia,14.873544919547472,20.9,21.3,63.6,50.5,26.9,26.2,NA,NA,10.2,9.8,69,4.2,9.364090971782101,4.7,9.949999809265137,NA,11.4,-0.01666666666666667,7.443779945373535,417.5699920654297,64,33.20000076293945,28.299999237060547,38.5,52.599998474121094,10.800000190734863,36.599998474121094,4.89632177,0.523220056994238,48,5,34.2,-0.86,0.3499540746898743,NA,NA,South and East Europe,7.246923446655273,9,0.36673354779329503,0.003,0.34997256257261244,0.020161820575594902,NA,-0.25
Algeria,DZA,Middle East and North Africa,17.497567290153235,19.2,34.2,57,65.5,24.6,26.3,NA,NA,8.5,7.5,57,6,9.393994374003915,2.8,4.480000019073486,NA,22.5,-0.8533333333333333,3.0327699184417725,288.7999954223633,52.400001525878906,12.600000381469727,33.70000076293945,53.70000076293945,6.400000095367432,29.700000762939453,63.79999923706055,6.97849178,0.7202399601541383,28,2,9.8,-0.87,0.3090904640071136,NA,NA,Arab,5.554046630859375,7,0.16560876502872912,0.63,0.3051131919428713,0.7921849489212036,1.118189438390612,-0.81
Andorra,AND,Europe and Central Asia,11.264374358054788,25.5,25.2,70,56.8,27.3,26.1,NA,NA,10.2,10.1,49,NA,NA,NA,NA,6.4,7.6,1.3466666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.23245335,0.878175260246191,NA,NA,92.3,2,0.6777034746685865,NA,NA,North Europe and Anglo,NA,15,NA,NA,NA,NA,NA,0.72
Angola,AGO,Sub-Saharan Africa,17.143577233382526,3.8,11.6,18.9,34.1,22.3,24.1,NA,NA,6.2,3.9,44,9.6,8.900821604915228,14.5,14.180000305175781,NA,21.55,-1.0116666666666667,2.976140022277832,106.71999740600586,46.20000076293945,NA,NA,NA,NA,NA,NA,2.60579467,0.5837899948867274,NA,NA,NA,NA,NA,NA,NA,Africa,6.108624935150147,3,0.07687399124230464,0.93,0.11512362356015067,0.02371225133538246,NA,NA
Antigua & Barbuda,ATG,Latin America and Caribbean,11.446475785398915,11.2,25.3,39.5,55,25.6,27.6,NA,NA,NA,NA,58,5,9.847551920205825,NA,15.850000381469727,NA,26,0.5783333333333334,9.405050277709961,189.69000244140625,NA,4.400000095367432,26.100000381469727,69.5,1.2000000476837158,5,93.80000305175781,5.27965546,0.2988204005364942,NA,NA,NA,NA,NA,NA,NA,Latin America,NA,13,0.3624239209454072,-0.27,0.1371,NA,NA,NA
Argentina,ARG,Latin America and Caribbean,17.579774950705943,26.8,28.5,65.7,58.9,27.7,27.5,-79.66392854935901,-5,10.3,10.5,66,5.4,9.908723819331374,1,12.899999618530273,0.5,14.8,-0.315,8.292349815368652,151.01000213623047,51.70000076293945,1.899999976158142,33,64.5,0.4000000059604645,9.5,89.69999694824219,10.22933769,0.9234899969842145,30,16,36.2,0.336666667,0.484992540443589,0.5150000000000001,46,Latin America,6.308556079864502,13,0.4382625805077427,0.003,0.4071,0.4157832860946655,2.4515810276679844,-0.463333333
Armenia,ARM,Europe and Central Asia,14.888996131499804,16.6,22.6,53.7,53.9,25.5,26.9,NA,NA,11.7,11.7,68,5,9.207335862955883,2.8,3.8299999237060547,NA,7.15,-0.27166666666666667,5.908470153808594,516.2399978637695,69.69999694824219,31.399999618530273,27,41.70000076293945,47.20000076293945,5.800000190734863,47,10.1176281,0.6406598827870866,47,2,26.3,-0.98,0.31472859880574433,NA,NA,Ottoman-Persian,7.604129791259766,9,0.3079287511989797,0.15,0.2897794397735428,0.1355588287115097,1.5313921747042767,-0.496666667
Australia,AUS,East Asia and Pacific,16.98586797173483,28.9,27.9,70.5,57.6,27.5,26.7,40.79215283322412,83,12.5,12.6,81,2.7,10.742378747148779,1,13.630000114440918,3.7,21.65,1.55,8.752140045166016,161.9800033569336,82.5,4.199999809265137,31.700000762939453,64.0999984741211,2.200000047683716,9.399999618530273,88.4000015258789,9.32331181,0.8904599714957471,21,19,66.3,1.656666667,0.5765817986044338,0.5149999999999997,90,North Europe and Anglo,7.520391941070557,15,0.6753100561805998,-0.14,0.5245,0.6173484325408936,2.824647887323944,0.333333333
Austria,AUT,Europe and Central Asia,15.972225476257695,21.3,18,61.4,46.4,26.5,24.6,-1.6855922295639758,95,12.9,12.2,88,3.4,10.817355351477529,1,5.260000228881836,2.2,6.35,1.46,6.67303991317749,196.48999786376953,71.9000015258789,5.400000095367432,36.5,58.099998474121094,5,11.5,83.5,10.36746693,0.6745399844644151,46,47,53.4,1.475,0.5208837713630037,1.4850000000000008,55,North Europe and Anglo,7.91858434677124,15,0.5091680067524476,-0.65,0.42709323278736233,0,NA,0.555
